iter	RMSE
0	3927.425625
1	3820.350928
2	3716.245918
3	3615.392485
4	3517.611388
5	3423.262489
6	3331.11039
7	3242.87798
8	3157.176465
9	3074.474344
10	2994.236445
11	2915.690843
12	2839.566737
13	2766.199134
14	2692.893523
15	2621.206576
16	2552.778753
17	2487.857595
18	2422.969676
19	2362.453876
20	2303.50662
21	2245.72555
22	2188.298217
23	2135.436394
24	2082.349086
25	2031.794535
26	1981.699655
27	1935.16616
28	1889.24771
29	1845.739467
30	1801.783378
31	1760.757419
32	1720.596021
33	1681.687647
34	1644.360228
35	1607.235515
36	1571.540094
37	1536.536172
38	1502.87279
39	1470.72639
40	1439.32614
41	1409.373205
42	1379.671619
43	1351.770696
44	1324.691183
45	1298.418714
46	1274.044972
47	1249.990148
48	1226.350283
49	1203.746159
50	1182.185041
51	1160.878397
52	1140.763279
53	1121.401399
54	1102.495382
55	1084.346047
56	1066.936554
57	1050.137699
58	1034.024016
59	1018.057433
60	1002.886773
61	987.7875888
62	973.6256
63	960.2181432
64	947.3144762
65	933.9027664
66	921.6794935
67	910.5856778
68	899.4184481
69	888.7941169
70	878.6302891
71	868.759661
72	858.8921441
73	849.6074197
74	840.039374
75	831.5697682
76	823.5544516
77	815.4984814
78	807.6738802
79	800.4624152
80	793.4178016
81	786.7111814
82	779.8342443
83	773.7473576
84	767.8213925
85	761.8585032
86	756.0241862
87	750.6237884
88	745.6012849
89	740.4269706
90	735.3811442
91	730.7247268
92	726.2024097
93	721.7459878
94	717.623491
95	713.4171349
96	709.380214
97	705.8625307
98	702.4058841
99	698.7744896
100	695.3964007
101	692.2094455
102	689.1375884
103	685.9994051
104	683.0915532
105	680.3429512
106	677.7619656
107	675.042768
108	672.6266597
109	670.1436947
110	667.877033
111	665.7329646
112	663.3954637
113	661.307752
114	659.4252562
115	657.3553932
116	655.4875612
117	653.700486
118	652.0875917
119	650.3054334
120	648.6207128
121	646.8790845
122	645.1564885
123	643.5801163
124	642.0764029
125	640.5976313
126	639.0602634
127	637.7294921
128	636.4080943
129	635.2745908
130	633.9752103
131	632.703179
132	631.5803917
133	630.3691483
134	629.1988759
135	628.2167856
136	627.1520361
137	626.045483
138	625.0600822
139	624.1194556
140	623.1901389
141	622.2797491
142	621.4657876
143	620.6697044
144	619.7917414
145	618.8670357
146	618.0998071
147	617.3906481
148	616.6325515
149	615.9581695
150	615.1989131
151	614.3573627
152	613.6923517
153	613.0342569
154	612.3603218
155	611.7776351
156	611.2700219
157	610.5170983
158	609.9119273
159	609.3721132
160	608.7941002
161	608.3362191
162	607.7550569
163	607.2468612
164	606.7729573
165	606.3334917
166	605.8159972
167	605.3451335
168	604.7972134
169	604.414241
170	603.886649
171	603.4093872
172	602.9556356
173	602.4923538
174	601.914334
175	601.3761753
176	600.986351
177	600.6150948
178	600.2805744
179	599.9820169
180	599.6959314
