iter	Passed	Remaining
0	17	8949
1	33	8418
2	49	8186
3	73	9153
4	91	9057
5	107	8842
6	125	8808
7	141	8717
8	157	8583
9	172	8450
10	188	8372
11	207	8454
12	223	8364
13	238	8265
14	254	8236
15	271	8202
16	287	8179
17	307	8221
18	330	8354
19	348	8371
20	365	8333
21	381	8296
22	398	8266
23	416	8251
24	435	8274
25	451	8239
26	468	8205
27	485	8176
28	500	8129
29	516	8085
30	531	8045
31	547	8011
32	563	7980
33	580	7949
34	596	7926
35	613	7903
36	629	7875
37	646	7858
38	662	7836
39	679	7815
40	696	7797
41	713	7776
42	730	7768
43	749	7772
44	765	7741
45	781	7712
46	797	7686
47	815	7679
48	832	7660
49	848	7637
50	868	7650
51	888	7654
52	908	7666
53	937	7744
54	959	7765
55	984	7802
56	1005	7814
57	1039	7922
58	1059	7919
59	1077	7904
60	1094	7874
61	1113	7863
62	1134	7867
63	1150	7835
64	1166	7808
65	1183	7780
66	1199	7751
67	1216	7728
68	1235	7715
69	1253	7700
70	1271	7684
71	1289	7666
72	1307	7648
73	1327	7641
74	1343	7611
75	1361	7597
76	1378	7573
77	1395	7549
78	1413	7533
79	1430	7511
80	1448	7492
81	1466	7474
82	1484	7458
83	1500	7432
84	1516	7404
85	1532	7379
86	1549	7357
87	1565	7331
88	1581	7302
89	1597	7277
90	1614	7255
91	1630	7232
92	1647	7208
93	1663	7186
94	1680	7165
95	1699	7151
96	1716	7131
97	1733	7110
98	1807	7321
99	1877	7511
100	1925	7606
101	1942	7577
102	1957	7544
103	1973	7513
104	1989	7482
105	2006	7459
106	2023	7432
107	2040	7406
108	2055	7374
109	2071	7344
110	2088	7319
111	2105	7294
112	2122	7268
113	2138	7239
114	2153	7210
115	2169	7182
116	2183	7147
117	2197	7112
118	2214	7088
119	2229	7061
120	2245	7033
121	2262	7010
122	2279	6985
123	2295	6959
124	2312	6936
125	2328	6911
126	2344	6885
127	2360	6858
128	2375	6832
129	2392	6809
130	2410	6789
131	2426	6765
132	2442	6740
133	2459	6718
134	2476	6695
135	2492	6671
136	2508	6646
137	2527	6629
138	2543	6606
139	2559	6580
140	2573	6553
141	2590	6531
142	2606	6506
143	2621	6480
144	2638	6459
145	2653	6434
146	2668	6407
147	2684	6385
148	2701	6362
149	2716	6337
150	2731	6314
151	2748	6292
152	2764	6269
153	2779	6244
154	2795	6221
155	2808	6192
156	2823	6167
157	2839	6145
158	2855	6124
159	2870	6099
160	2886	6077
161	2902	6055
162	2920	6037
163	2936	6017
164	2953	5996
165	2968	5972
166	2984	5951
167	2999	5927
168	3033	5942
169	3048	5917
170	3064	5896
171	3082	5878
172	3100	5861
173	3118	5843
174	3139	5829
175	3158	5813
176	3175	5795
177	3193	5777
178	3211	5760
179	3227	5738
180	3244	5718
181	3264	5703
182	3280	5682
183	3297	5662
184	3313	5641
185	3328	5619
186	3345	5599
187	3362	5579
188	3377	5558
189	3393	5536
190	3410	5517
191	3426	5497
192	3442	5476
193	3458	5455
194	3474	5433
195	3489	5412
196	3506	5392
197	3523	5374
198	3540	5355
199	3564	5346
200	3583	5330
201	3601	5313
202	3619	5295
203	3637	5278
204	3653	5257
205	3669	5237
206	3685	5216
207	3701	5196
208	3717	5176
209	3732	5155
210	3748	5133
211	3761	5110
212	3776	5089
213	3791	5066
214	3805	5045
215	3822	5025
216	3837	5004
217	3854	4985
218	3869	4965
219	3885	4944
220	3902	4927
221	3919	4908
222	3936	4889
223	3951	4869
224	3968	4850
225	3984	4830
226	4000	4811
227	4020	4796
228	4037	4778
229	4052	4757
230	4069	4738
231	4087	4721
232	4103	4702
233	4118	4681
234	4133	4661
235	4150	4642
236	4166	4623
237	4183	4605
238	4198	4585
239	4215	4566
240	4231	4547
241	4247	4527
242	4263	4509
243	4280	4490
244	4295	4470
245	4310	4450
246	4326	4431
247	4342	4412
248	4358	4393
249	4373	4373
250	4391	4356
251	4406	4336
252	4420	4315
253	4436	4297
254	4452	4277
255	4467	4258
256	4484	4240
257	4500	4221
258	4515	4201
259	4531	4182
260	4545	4162
261	4560	4142
262	4575	4123
263	4591	4104
264	4609	4087
265	4624	4068
266	4640	4049
267	4656	4030
268	4672	4012
269	4688	3993
270	4704	3975
271	4718	3955
272	4731	3934
273	4748	3916
274	4763	3897
275	4777	3877
276	4791	3857
277	4807	3838
278	4822	3819
279	4837	3801
280	4853	3782
281	4870	3765
282	4886	3747
283	4900	3727
284	4914	3707
285	4928	3687
286	4943	3669
287	4958	3649
288	4973	3631
