iter	Passed	Remaining
0	508	304509
1	554	165933
2	652	129815
3	689	102794
4	731	86997
5	795	78759
6	866	73431
7	913	67563
8	1040	68346
9	1118	65965
10	1160	62141
11	1205	59091
12	1250	56475
13	1293	54154
14	1361	53083
15	1409	51459
16	1457	49969
17	1503	48600
18	1551	47438
19	1638	47506
20	1714	47276
21	1775	46654
22	1824	45765
23	1909	45826
24	1977	45474
25	2030	44823
26	2086	44276
27	2160	44145
28	2221	43733
29	2267	43085
30	2317	42528
31	2368	42045
32	2421	41612
33	2493	41509
34	2539	41000
35	2587	40537
36	2656	40426
37	2741	40539
38	2787	40096
39	2832	39659
40	2878	39248
41	2929	38920
42	2995	38801
43	3037	38376
44	3075	37933
45	3116	37536
46	3155	37128
47	3198	36779
48	3282	36914
49	3327	36603
50	3372	36306
51	3417	36014
52	3463	35750
53	3523	35624
54	3577	35446
55	3631	35278
56	3677	35029
57	3723	34793
58	3783	34696
59	3847	34629
60	3892	34395
61	3941	34199
62	3987	33990
63	4029	33751
64	4106	33801
65	4157	33638
66	4204	33450
67	4248	33241
68	4297	33069
69	4373	33114
70	4420	32933
71	4467	32761
72	4514	32588
73	4560	32414
74	4632	32428
75	4678	32259
76	4725	32097
77	4771	31932
78	4821	31799
79	4875	31693
80	4930	31590
81	4982	31473
82	5034	31357
83	5082	31218
84	5134	31107
85	5215	31170
86	5259	31013
87	5305	30867
88	5352	30731
89	5398	30591
90	5456	30522
91	5500	30374
92	5548	30246
93	5593	30110
94	5638	29974
95	5701	29930
96	5748	29808
97	5796	29690
98	5840	29557
99	5891	29459
100	5939	29342
101	5994	29268
102	6042	29154
103	6089	29042
104	6134	28919
105	6179	28800
106	6233	28719
107	6281	28617
108	6327	28502
109	6374	28395
110	6420	28286
111	6468	28182
112	6543	28199
113	6588	28089
114	6641	28011
115	6691	27921
116	6736	27810
117	6781	27702
118	6821	27573
119	6862	27449
120	6931	27441
121	6974	27327
122	7017	27213
123	7065	27123
124	7111	27023
125	7157	26925
126	7203	26830
127	7249	26732
128	7314	26705
129	7365	26629
130	7411	26532
131	7455	26434
